title,desc,label
"Best laptops","Discover the best budget laptops with top features and performance.",1
"Affordable laptops","Find affordable laptops for students and professionals.",1
"Top gaming laptops","Best gaming laptops with powerful GPUs and fast processors.",1
"Long battery laptops","Shop laptops with long-lasting battery for work and play.",1
"Latest laptop deals","Get the latest offers on high-performance laptops.",1
"Nice product","Very good quality, nice design.",0
"Phone covers","Buy stylish phone covers for all brands.",0
"Unrelated text","Random content that does not mention laptops.",0
"Simple post","This is a simple short post.",0
"Fashion shoes","Trending shoes for men and women.",0
